,product_category
6890,Handbags
6891,Straight
6892,Knickers
6893,Long dresses
6894,Rings
6895,Bracelets
6896,Bracelets
6897,Bracelets
6898,Bracelets
6899,Round neck sweatshirts
6900,Socks
6901,Earrings
6902,Bracelets
6903,Necklaces
6904,Necklaces
6905,Necklaces
6906,Necklaces
6907,Earrings
6908,Bracelets
6909,Bracelets
6910,Earrings
6911,Earrings
6912,Bracelets
6913,Watches
6914,Bracelets
6915,Necklaces
6916,Rings
6917,Rings
6918,Rings
6919,Necklaces
6920,Shoulder bags
6921,Shoulder bags
6922,Small leather goods
6923,Earrings
6924,Earrings
6925,Earrings
6926,Earrings
6927,Necklaces
6928,Earrings
6929,Earrings
6930,Long sleeve shirts
6931,Rings
6932,Rings
6933,/
6934,Earrings
6935,Earrings
6936,Earrings
6937,Rings
6938,Jackets
6939,Earrings
6940,Jackets
6941,Bracelets
6942,Bracelets
6943,Bracelets
6944,Rings
6945,Straight leg trousers
6946,Straight leg trousers
6947,Jackets
6948,Earrings
6949,Earrings
6950,Hooded sweatshirts
6951,"Belts, Braces"
6952,Rings
6953,Bracelets
6954,Necklaces
6955,Necklaces
6956,Necklaces
6957,Necklaces
6958,Necklaces
6959,Necklaces
6960,Bracelets
6961,Necklaces
6962,Bracelets
6963,Necklaces
6964,Bracelets
6965,Necklaces
6966,Necklaces
6967,Bracelets
6968,Necklaces
6969,Bracelets
6970,Necklaces
6971,Necklaces
6972,Necklaces
6973,Straight
6974,Jackets
6975,Necklaces
6976,Necklaces
6977,Rings
6978,Necklaces
6979,Bracelets
6980,Earrings
6981,Earrings
6982,Bracelets
6983,Necklaces
6984,Earrings
6985,Bracelets
6986,Earrings
6987,Bracelets
6988,Straight
6989,Rings
6990,Rings
6991,Earrings
6992,Fashion Accessories
6993,Rings
6994,Fashion Accessories
6995,Jackets
6996,Rings
6997,Jackets
6998,Jackets
6999,Straight
7000,"Leggings, Boxer shorts"
7001,Straight
7002,"Leggings, Boxer shorts"
7003,Coats
7004,Coats
7005,Jackets
7006,Jackets
7007,Coats
7008,Sports all-in-one
7009,Coats
7010,"Belts, Braces"
7011,Shoulder bags
7012,Jogging bottoms
7013,"Flare, Bootcut"
7014,Straight
7015,Long sleeve t-shirts
7016,Coats
7017,Knickers
7018,Straight
7019,Round neck jumpers
7020,Straight leg trousers
7021,Scarves
7022,"Leggings, Boxer shorts"
7023,Straight
7024,Socks
7025,Socks
7026,Socks
7027,Straight
7028,Pyjamas
7029,Bras
7030,Bras
7031,Rings
7032,Socks
7033,Socks
7034,Bras
7035,Sports Bras
7036,Bras
7037,Knickers
7038,Knickers
7039,Knickers
7040,Knickers
7041,Knickers
7042,Sports Bras
7043,Socks
7044,Bracelets
7045,Necklaces
7046,Bracelets
7047,Short sleeve t-shirts
7048,Short sleeve t-shirts
7049,Long sleeve t-shirts
7050,Necklaces
7051,"Belts, Braces"
7052,Rings
7053,Earrings
7054,Pyjamas
7055,Necklaces
7056,Earrings
7057,"Flare, Bootcut"
7058,"Flare, Bootcut"
7059,Earrings
7060,Rings
7061,Socks
7062,Bracelets
7063,Rings
7064,Rings
7065,Earrings
7066,Necklaces
7067,Bracelets
7068,Pouches
7069,Fashion Accessories
7070,Socks
7071,Bracelets
7072,Fashion Accessories
7073,Earrings
7074,Earrings
7075,Rings
7076,Earrings
7077,Rings
7078,Necklaces
7079,Necklaces
7080,Bracelets
7081,Bras
7082,Rings
7083,Hair clips
7084,Rings
7085,Necklaces
7086,Earrings
7087,Earrings
7088,Earrings
7089,Straight
7090,Earrings
7091,Earrings
7092,Necklaces
7093,Bracelets
7094,Rings
7095,"T-shirts, Shirts"
7096,Bracelets
7097,Earrings
7098,Bracelets
7099,Earrings
7100,Short sleeve t-shirts
7101,Rings
7102,Down jackets
7103,Sports Bras
7104,Earrings
7105,Necklaces
7106,Necklaces
7107,Bracelets
7108,Fashion Accessories
7109,Bracelets
7110,Necklaces
7111,Earrings
7112,Earrings
7113,Coats
7114,Necklaces
7115,Necklaces
7116,Earrings
7117,Sports Bras
7118,"Belts, Braces"
7119,Necklaces
7120,Necklaces
7121,Bracelets
7122,Long sleeve blouses
7123,Fashion Accessories
7124,Fashion Accessories
7125,Fashion Accessories
7126,Bracelets
7127,Short sleeve t-shirts
7128,Earrings
7129,Slouchy trousers
7130,Earrings
7131,Earrings
7132,Earrings
7133,Earrings
7134,"Belts, Braces"
7135,"Belts, Braces"
7136,Beanies
7137,"T-shirts, Tops & Blouses"
7138,Beanies
7139,Bracelets
7140,Earrings
7141,Necklaces
7142,Necklaces
7143,Earrings
7144,Earrings
7145,Rings
7146,Bags
7147,Shoulder bags
7148,Long sleeve t-shirts
7149,Shoulder bags
7150,Earrings
7151,Gloves
7152,Straight
7153,Jackets
7154,Pencil cases
7155,Rings
7156,Rings
7157,Shoulder bags
7158,Bracelets
7159,Bracelets
7160,Earrings
7161,Earrings
7162,Necklaces
7163,Necklaces
7164,Bracelets
7165,Necklaces
7166,"Slim, Skinny"
7167,Rings
7168,Necklaces
7169,Necklaces
7170,Rings
7171,Earrings
7172,Earrings
7173,Bracelets
7174,Bracelets
7175,Earrings
7176,Earrings
7177,Earrings
7178,Earrings
7179,Necklaces
7180,Rings
7181,Earrings
7182,Small leather goods
7183,Handbags
7184,Long sleeve shirts
7185,Shorts
7186,Caps
7187,"Briefs, Swim shorts"
7188,Caps
7189,Caps
7190,Fanny packs
7191,Fanny packs
7192,Tote bags
7193,Shorts
7194,Caps
7195,Hooded sweatshirts
7196,Short sleeve t-shirts
7197,Fanny packs
7198,Hats
7199,Sunglasses
7200,Shorts
7201,Short sleeve t-shirts
7202,Short sleeve t-shirts
7203,Short sleeve t-shirts
7204,Short sleeve t-shirts
7205,Short sleeve t-shirts
7206,"Briefs, Swim shorts"
7207,"Briefs, Swim shorts"
7208,"Briefs, Swim shorts"
7209,"Briefs, Swim shorts"
7210,"Briefs, Swim shorts"
7211,"Briefs, Swim shorts"
7212,"Briefs, Swim shorts"
7213,"Briefs, Swim shorts"
7214,"Briefs, Swim shorts"
7215,"Briefs, Swim shorts"
7216,Short sleeve polo shirts
7217,Short sleeve polo shirts
7218,Short sleeve polo shirts
7219,Round neck sweatshirts
7220,Jogging bottoms
7221,Sunglasses
7222,Sunglasses
7223,Caps
7224,Caps
7225,Caps
7226,Caps
7227,Short sleeve shirts
7228,Short sleeve t-shirts
7229,Short sleeve t-shirts
7230,Caps
7231,Short sleeve t-shirts
7232,Short sleeve t-shirts
7233,Short sleeve t-shirts
7234,Short sleeve t-shirts
7235,Short sleeve t-shirts
7236,Short sleeve t-shirts
7237,Short sleeve t-shirts
7238,Short sleeve t-shirts
7239,Short sleeve t-shirts
7240,Short sleeve t-shirts
7241,Short sleeve t-shirts
7242,Short sleeve t-shirts
7243,"Toiletry bags, Pouches"
7244,Fanny packs
7245,Fanny packs
7246,Sunglasses
7247,Short sleeve t-shirts
7248,Round neck sweatshirts
7249,Round neck sweatshirts
7250,Round neck sweatshirts
7251,Long sleeve t-shirts
7252,Round neck sweatshirts
7253,"Boxers, Briefs"
7254,Short sleeve t-shirts
7255,Round neck sweatshirts
7256,Short sleeve t-shirts
7257,Hooded sweatshirts
7258,Round neck sweatshirts
7259,Round neck sweatshirts
7260,Round neck sweatshirts
7261,Round neck sweatshirts
7262,Short sleeve t-shirts
7263,Shoulder bags
7264,Jackets
7265,Jackets
7266,Jogging bottoms
7267,Hooded sweatshirts
7268,Jogging bottoms
7269,Hooded sweatshirts
7270,Shorts
7271,Round neck sweatshirts
7272,Zipped sweatshirts
7273,Shorts
7274,Hooded sweatshirts
7275,Zipped sweatshirts
7276,Zipped sweatshirts
7277,Jogging bottoms
7278,Shorts
7279,Hooded sweatshirts
7280,Shorts
7281,Caps
7282,Caps
7283,Caps
7284,"Briefs, Swim shorts"
7285,Tote bags
7286,Short sleeve t-shirts
7287,"Skateboards, Scooters & Outdoor Toys"
7288,Short sleeve t-shirts
7289,Round neck sweatshirts
7290,"Briefs, Swim shorts"
7291,Backpacks
7292,Hooded sweatshirts
7293,Backpacks
7294,Round neck sweatshirts
7295,Short sleeve t-shirts
7296,Short sleeve t-shirts
7297,Short sleeve t-shirts
7298,Hooded sweatshirts
7299,Short sleeve t-shirts
7300,Caps
7301,Short sleeve t-shirts
7302,Short sleeve t-shirts
7303,Jackets
7304,Jackets
7305,Short sleeve t-shirts
7306,Short sleeve t-shirts
7307,Fanny packs
7308,"Slim, Skinny"
7309,Fanny packs
7310,Backpacks
7311,Backpacks
7312,"Briefs, Swim shorts"
7313,"Briefs, Swim shorts"
7314,Shorts
7315,Round neck sweatshirts
7316,"Briefs, Swim shorts"
